timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,6.233168,-75.540390,1640.602695,0.000000,140.976562,1527541259.002581,
,,,,,,,,,,,,,,,,6.233168,-75.540390,1640.595371,0.000000,140.976562,1527541260.002357,
1527541260.298478,0.415928,0.565406,-0.988052,0.155283,-0.168268,-0.043883,0.341159,-0.535759,-0.772381,0.006254,-0.034767,0.000058,20.067373,19.034721,-5.092487,,,,,,,
,,,,,,,,,,,,,,,,6.233168,-75.540390,1641.292149,0.000000,140.976562,1527541261.002146,
1527541261.298882,0.512276,0.632629,-1.042531,-0.197812,-0.234826,-0.242507,0.395304,-0.591267,-0.702949,-0.013682,-0.017879,-0.006218,20.524038,19.858940,-4.418629,,,,,,,
,,,,,,,,,,,,,,,,6.233168,-75.540390,1641.075596,0.000000,140.976562,1527541262.001943,
1527541262.299312,0.474934,0.571841,-1.050169,-0.148751,-0.102332,-0.061132,0.384529,-0.541181,-0.747836,0.003716,-0.005587,0.028277,21.219625,22.332787,-3.517307,,,,,,,
,,,,,,,,,,,,,,,,6.233168,-75.540390,1641.507725,0.000000,140.976562,1527541263.001749,
1527541263.299748,0.285818,0.212703,-0.628352,-1.136365,0.713702,-0.243636,0.275588,-0.211103,-0.937809,-0.047576,-0.018374,0.053700,23.790350,16.401375,4.174862,,,,,,,
,,,,,,,,,,,,,,,,6.233168,-75.540390,1641.465488,0.000000,238.359375,1527541264.001566,
1527541264.300154,0.035559,0.618383,-0.632548,0.507450,-0.302134,0.247169,0.028968,-0.579719,-0.814301,-0.095665,-0.098870,0.065339,23.779715,14.531639,-6.329731,,,,,,,
,,,,,,,,,,,,,,,,6.233176,-75.540394,1642.681065,0.610000,285.117188,1527541265.001395,
1527541265.300561,0.313848,0.361467,-0.626545,-0.202531,-0.938941,0.094828,0.288771,-0.353647,-0.889688,-0.013121,-0.023520,0.079858,22.824209,17.526619,5.609447,,,,,,,
,,,,,,,,,,,,,,,,6.233182,-75.540403,1643.193272,1.220000,284.414062,1527541266.001235,
1527541266.301000,-0.061899,0.387283,-0.558205,-0.764830,-1.285193,1.655718,-0.057278,-0.377674,-0.924165,0.045483,-0.148235,0.153199,20.344900,16.483665,-3.525806,,,,,,,
,,,,,,,,,,,,,,,,6.233195,-75.540411,1640.902256,1.440000,305.507812,1527541267.001082,
1527541267.301421,0.046406,0.773501,-0.692727,0.054256,0.685536,-0.061610,0.033190,-0.698644,-0.714699,0.034330,0.041982,0.215721,17.863150,15.363914,-9.061237,,,,,,,
,,,,,,,,,,,,,,,,6.233210,-75.540422,1642.014805,1.440000,310.429688,1527541268.000932,
1527541268.301858,0.104978,0.565237,-0.623554,0.383697,0.290907,-0.081253,0.088487,-0.535616,-0.839812,-0.027284,0.005892,-0.003755,12.758032,14.917686,-6.401615,,,,,,,
,,,,,,,,,,,,,,,,6.233221,-75.540431,1642.662510,1.440000,310.781250,1527541269.000793,
1527541269.302260,0.149987,0.525785,-0.703591,-0.078128,0.054095,0.030967,0.129242,-0.501892,-0.855220,0.045517,0.012009,0.017863,14.199545,17.014946,-3.781467,,,,,,,
,,,,,,,,,,,,,,,,6.233230,-75.540439,1643.058262,1.340000,305.859375,1527541270.000660,
1527541270.302709,0.309121,0.633966,-0.757350,0.010245,0.016739,0.069561,0.245107,-0.592345,-0.767496,0.021556,-0.043504,0.143396,15.039953,18.814217,-4.007847,,,,,,,
,,,,,,,,,,,,,,,,6.233237,-75.540445,1643.193760,0.890000,305.156250,1527541271.000535,
1527541271.303118,0.286608,0.640623,-0.691640,0.007682,-0.016126,0.082419,0.226647,-0.597695,-0.769020,-0.030938,-0.060920,0.025627,16.685431,18.064415,-7.696232,,,,,,,
,,,,,,,,,,,,,,,,6.233243,-75.540453,1645.062412,1.090000,304.804688,1527541272.000413,
1527541272.303573,0.313351,0.645525,-0.819667,0.087222,-0.246907,-0.099798,0.246224,-0.601618,-0.759888,-0.045143,0.025934,0.061463,18.036108,17.915016,-11.606068,,,,,,,
,,,,,,,,,,,,,,,,6.233251,-75.540463,1645.384434,1.090000,305.859375,1527541273.000300,
1527541273.303954,0.331894,0.706374,-0.778654,0.363491,0.365651,-0.030670,0.247869,-0.649079,-0.719206,-0.012075,-0.051650,0.078230,21.963140,12.211601,-12.622822,,,,,,,
,,,,,,,,,,,,,,,,6.233261,-75.540475,1645.460850,1.330000,306.914062,1527541274.000191,
1527541274.304410,0.272664,0.889379,-0.769885,0.017710,0.104608,-0.001003,0.169629,-0.776681,-0.606624,-0.027951,-0.065772,0.047191,23.995382,4.185036,-13.557117,,,,,,,
,,,,,,,,,,,,,,,,6.233274,-75.540491,1644.577061,1.600000,307.968750,1527541275.000087,
1527541275.304808,0.343251,0.907312,-0.804085,-0.081508,0.359450,-0.128097,0.207269,-0.787851,-0.579937,-0.025842,-0.056708,0.022046,21.112097,9.509377,-6.473621,,,,,,,
,,,,,,,,,,,,,,,,6.233289,-75.540511,1644.508213,2.410000,308.671875,1527541275.999985,
1527541276.305243,0.317209,0.922856,-0.760141,-0.101233,-0.089290,0.039340,0.188254,-0.797329,-0.573430,-0.001502,-0.023548,0.072011,20.207907,8.911171,-8.268787,,,,,,,
,,,,,,,,,,,,,,,,6.233304,-75.540532,1644.284580,2.410000,308.320312,1527541276.999891,
1527541277.305656,0.257254,0.904909,-0.706607,0.054417,-0.261132,-0.195684,0.157172,-0.786369,-0.597423,0.022394,-0.043587,0.078991,20.190786,6.737541,-10.974094,,,,,,,
,,,,,,,,,,,,,,,,6.233331,-75.540549,1641.130283,2.410000,316.054688,1527541277.999797,
1527541278.306096,0.290132,0.767338,-0.708205,-0.043824,-0.099722,-0.083179,0.205908,-0.694222,-0.689676,0.017115,-0.004829,0.082330,20.640600,6.736900,-10.602253,,,,,,,
,,,,,,,,,,,,,,,,6.233360,-75.540576,1640.744541,3.110000,309.375000,1527541278.999708,
