time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
388,6.23333450,-75.54017340,58,0.00000,0.00000,0,0
1377,6.23333560,-75.54038170,56,1658.09998,0.00000,0,0
2382,6.23333560,-75.54038170,56,1658.09998,0.00000,0,0
3387,6.23333560,-75.54038170,56,1658.09998,0.00000,0,0
4430,6.23333560,-75.54038170,56,1658.09998,0.00000,0,0
5429,6.23333560,-75.54038170,56,1658.09998,0.00000,0,0
6430,6.23315750,-75.54042350,46,1658.09998,0.00000,0,0
7429,6.23315750,-75.54042350,46,1658.09998,0.00000,0,0
8428,6.23315750,-75.54042350,46,1658.09998,0.00000,0,0
9427,6.23315750,-75.54042350,46,1658.09998,0.00000,0,0
10427,6.23315750,-75.54042350,46,1658.09998,0.00000,0,0
11434,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
12478,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
13481,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
14480,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
15482,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
16479,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
17479,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
18530,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
19531,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
20579,6.23315010,-75.54042520,91,1658.09998,0.00000,0,0
21580,6.23320250,-75.54000960,42,0.00000,0.00000,0,0
22578,6.23320250,-75.54000960,42,0.00000,0.00000,0,0
23627,6.23320250,-75.54000960,42,0.00000,0.00000,0,0
24628,6.23320250,-75.54000960,42,0.00000,0.00000,0,0
25632,6.23320250,-75.54000960,42,0.00000,0.00000,0,0
26627,6.23321670,-75.54028440,35,0.00000,0.00000,0,0
27628,6.23321670,-75.54028440,35,0.00000,0.00000,0,0
28629,6.23321670,-75.54028440,35,0.00000,0.00000,0,0
29629,6.23321670,-75.54028440,35,0.00000,0.00000,0,0
30627,6.23321670,-75.54028440,35,0.00000,0.00000,0,0
31648,6.23320550,-75.54005350,77,0.00000,0.00000,0,0
32679,6.23320550,-75.54005350,77,0.00000,0.00000,0,0
33682,6.23320550,-75.54005350,77,0.00000,0.00000,0,0
34680,6.23320550,-75.54005350,77,0.00000,0.00000,0,0
35726,6.23320550,-75.54005350,77,0.00000,0.00000,0,0
36732,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
37728,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
38731,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
39729,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
40733,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
41727,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
42778,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
43782,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
44828,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
45832,6.23297810,-75.54034500,101,0.00000,0.00000,0,0
46833,6.23319830,-75.54001180,53,0.00000,0.00000,0,0
47827,6.23319830,-75.54001180,53,0.00000,0.00000,0,0
48835,6.23319830,-75.54001180,53,0.00000,0.00000,0,0
49827,6.23319830,-75.54001180,53,0.00000,0.00000,0,0
50828,6.23319830,-75.54001180,53,0.00000,0.00000,0,0
51828,6.23302170,-75.54024600,77,0.00000,0.00000,0,0
52828,6.23302170,-75.54024600,77,0.00000,0.00000,0,0
53828,6.23302170,-75.54024600,77,0.00000,0.00000,0,0
54828,6.23302170,-75.54024600,77,0.00000,0.00000,0,0
55828,6.23302170,-75.54024600,77,0.00000,0.00000,0,0
56828,6.23323930,-75.54036460,124,0.00000,0.00000,0,0
57827,6.23323930,-75.54036460,124,0.00000,0.00000,0,0
58829,6.23323930,-75.54036460,124,0.00000,0.00000,0,0
59826,6.23323930,-75.54036460,124,0.00000,0.00000,0,0
60826,6.23323930,-75.54036460,124,0.00000,0.00000,0,0
61832,6.23299660,-75.54044890,63,0.00000,0.00000,0,0
62834,6.23299660,-75.54044890,63,0.00000,0.00000,0,0
63882,6.23299660,-75.54044890,63,0.00000,0.00000,0,0
64882,6.23299660,-75.54044890,63,0.00000,0.00000,0,0
65931,6.23299660,-75.54044890,63,0.00000,0.00000,0,0
66933,6.23299660,-75.54044890,63,0.00000,0.00000,0,0
67982,6.23400900,-75.53934230,99,0.00000,0.00000,0,0
68984,6.23400900,-75.53934230,99,0.00000,0.00000,0,0
69983,6.23400900,-75.53934230,99,0.00000,0.00000,0,0
71031,6.23400900,-75.53934230,99,0.00000,0.00000,0,0
72029,6.23400900,-75.53934230,99,0.00000,0.00000,0,0
73079,6.23425040,-75.53908050,141,0.00000,0.00000,0,0
74076,6.23425040,-75.53908050,141,0.00000,0.00000,0,0
75077,6.23425040,-75.53908050,141,0.00000,0.00000,0,0
76082,6.23425040,-75.53908050,141,0.00000,0.00000,0,0
77126,6.23369260,-75.54001220,121,0.00000,0.00000,0,0
78127,6.23369260,-75.54001220,121,0.00000,0.00000,0,0
79177,6.23369260,-75.54001220,121,0.00000,0.00000,0,0
80183,6.23369260,-75.54001220,121,0.00000,0.00000,0,0
81231,6.23369260,-75.54001220,121,0.00000,0.00000,0,0
82228,6.23438580,-75.53899500,84,0.00000,0.00000,0,0
83282,6.23438580,-75.53899500,84,0.00000,0.00000,0,0
84283,6.23438580,-75.53899500,84,0.00000,0.00000,0,0
85279,6.23438580,-75.53899500,84,0.00000,0.00000,0,0
86282,6.23438580,-75.53899500,84,0.00000,0.00000,0,0
87278,6.23338090,-75.54038150,32,0.00000,0.00000,0,0
88284,6.23338090,-75.54038150,32,0.00000,0.00000,0,0
89283,6.23338090,-75.54038150,32,0.00000,0.00000,0,0
90282,6.23338090,-75.54038150,32,0.00000,0.00000,0,0
91279,6.23338090,-75.54038150,32,0.00000,0.00000,0,0
92276,6.23335670,-75.54041480,85,0.00000,0.00000,0,0
93282,6.23335670,-75.54041480,85,0.00000,0.00000,0,0
94285,6.23335670,-75.54041480,85,0.00000,0.00000,0,0
95277,6.23335670,-75.54041480,85,0.00000,0.00000,0,0
96329,6.23335670,-75.54041480,85,0.00000,0.00000,0,0
97377,6.23335060,-75.54042330,136,0.00000,0.00000,0,0
98382,6.23335060,-75.54042330,136,0.00000,0.00000,0,0
99382,6.23335060,-75.54042330,136,0.00000,0.00000,0,0
100381,6.23335060,-75.54042330,136,0.00000,0.00000,0,0
101434,6.23335060,-75.54042330,136,0.00000,0.00000,0,0
102427,6.23334840,-75.54042630,176,0.00000,0.00000,0,0
103432,6.23334840,-75.54042630,176,0.00000,0.00000,0,0
104432,6.23334840,-75.54042630,176,0.00000,0.00000,0,0
105431,6.23334840,-75.54042630,176,0.00000,0.00000,0,0
106483,6.23334840,-75.54042630,176,0.00000,0.00000,0,0
107482,6.23334740,-75.54042770,213,0.00000,0.00000,0,0
108484,6.23334740,-75.54042770,213,0.00000,0.00000,0,0
109533,6.23334740,-75.54042770,213,0.00000,0.00000,0,0
110531,6.23334740,-75.54042770,213,0.00000,0.00000,0,0
111533,6.23334740,-75.54042770,213,0.00000,0.00000,0,0
112528,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
113531,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
114532,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
115530,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
116582,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
117583,6.23303900,-75.54240870,1000,0.00000,0.00000,0,0
118583,6.23303900,-75.54240870,1000,0.00000,0.00000,0,0
119582,6.23303900,-75.54240870,1000,0.00000,0.00000,0,0
120586,6.23303900,-75.54240870,1000,0.00000,0.00000,0,0
121584,6.23303900,-75.54240870,1000,0.00000,0.00000,0,0
122583,6.23597300,-75.54350040,900,0.00000,0.00000,0,0
123631,6.23597300,-75.54350040,900,0.00000,0.00000,0,0
124631,6.23597300,-75.54350040,900,0.00000,0.00000,0,0
125633,6.23597300,-75.54350040,900,0.00000,0.00000,0,0
126627,6.23597300,-75.54350040,900,0.00000,0.00000,0,0
127681,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
128683,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
129685,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
130731,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
131731,6.23337170,-75.54277260,900,0.00000,0.00000,0,0
132731,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
133781,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
134784,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
135833,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
136882,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
137882,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
138882,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
139931,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
140933,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
141932,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
142982,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
143978,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
144983,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
145983,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
146981,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
147981,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
148982,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
149983,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
151032,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
152031,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
153032,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
154032,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
155031,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
156033,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
157026,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
158031,6.23667910,-75.54568370,1100,0.00000,0.00000,0,0
