time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
118,6.24878490,-75.56848600,116,0.00000,0.00000,0,0
1168,6.24878490,-75.56848600,116,0.00000,0.00000,0,0
2170,6.24878490,-75.56848600,116,0.00000,0.00000,0,0
3168,6.24878490,-75.56848600,116,0.00000,0.00000,0,0
4166,6.24878490,-75.56848600,116,0.00000,0.00000,0,0
5169,6.24878490,-75.56848600,116,0.00000,0.00000,0,0
6218,6.24878490,-75.56848600,116,0.00000,0.00000,0,0
7217,6.24878490,-75.56848600,116,0.00000,0.00000,0,0
8267,6.24878490,-75.56848600,116,0.00000,0.00000,0,0
9266,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
10268,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
11269,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
12320,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
13317,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
14319,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
15319,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
16327,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
17317,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
18317,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
19316,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
20317,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
21367,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
22370,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
23366,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
24368,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
25369,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
26368,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
27368,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
28417,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
29416,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
30417,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
31417,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
32417,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
33417,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
34418,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
35419,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
36421,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
37463,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
38418,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
39417,6.24878490,-75.56848600,122,0.00000,0.00000,0,0
