timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,6.247060,-75.568949,1528.282871,0.250000,217.617188,1527543003.993663,
,,,,,,,,,,,,,,,,6.247054,-75.568955,1515.995640,0.230000,254.882812,1527543004.993632,
1527543005.310903,0.214778,0.175838,1.720194,0.044690,0.148101,-0.042000,0.209845,-0.174933,-0.961958,-0.010931,0.001212,0.028440,-17.877747,-51.703346,-16.780071,,,,,,,
,,,,,,,,,,,,,,,,6.247053,-75.568954,1512.011997,0.180000,270.351562,1527543005.993603,
1527543006.311303,0.173912,0.124741,1.731464,-0.052527,-0.031217,-0.055623,0.171692,-0.124418,-0.977262,-0.000671,0.005476,-0.004900,-22.170624,-54.096596,-21.706005,,,,,,,
,,,,,,,,,,,,,,,,6.247053,-75.568954,1512.832310,0.000000,271.054688,1527543006.993573,
1527543007.311655,0.146855,0.173777,2.057495,0.170721,0.478638,1.357547,0.144124,-0.172904,-0.974337,-0.010304,0.061789,-0.033277,-36.787369,-44.257378,-20.904095,,,,,,,
,,,,,,,,,,,,,,,,6.247053,-75.568954,1513.117832,0.000000,277.734375,1527543007.993543,
1527543008.312038,0.133682,0.094681,2.398285,-0.079099,-0.019420,-0.056305,0.132688,-0.094539,-0.986639,-0.036298,-0.002049,-0.025202,-55.290619,-33.508476,-31.697689,,,,,,,
,,,,,,,,,,,,,,,,6.247046,-75.568911,1510.618931,0.170000,262.968750,1527543008.993513,
1527543009.312411,0.118752,0.070013,2.354517,-0.024295,-0.008027,-0.073159,0.118183,-0.069956,-0.990525,0.008892,-0.010916,0.025116,-49.644836,-30.964958,-30.005856,,,,,,,
,,,,,,,,,,,,,,,,6.247046,-75.568911,1509.781284,0.000000,222.890625,1527543009.993483,
1527543010.312822,0.139616,0.057053,2.331909,-0.087066,-0.007600,-0.035170,0.138936,-0.057022,-0.988658,0.021556,-0.014694,-0.024297,-51.854050,-35.086937,-31.650692,,,,,,,
,,,,,,,,,,,,,,,,6.247046,-75.568911,1509.078037,0.000000,169.101562,1527543010.993454,
1527543011.313195,0.157941,0.013368,2.313698,0.253752,0.098574,-0.223698,0.157272,-0.013368,-0.987465,-0.046294,0.123033,0.004845,-56.308594,-38.904564,-37.479061,,,,,,,
,,,,,,,,,,,,,,,,6.247038,-75.568871,1509.441074,0.190000,128.320312,1527543011.993423,
1527543012.313563,0.282292,0.263495,1.771875,0.212752,-0.422476,0.348347,0.268943,-0.260456,-0.927271,0.010186,-0.026730,0.059443,-23.434540,-61.446785,-18.790539,,,,,,,
,,,,,,,,,,,,,,,,6.247038,-75.568869,1509.995029,0.190000,130.781250,1527543012.993393,
1527543013.313933,0.151160,0.218338,1.698364,0.024430,0.124989,-0.002901,0.147010,-0.216608,-0.965126,0.032692,-0.008490,-0.010917,-10.609680,-43.388222,-11.560162,,,,,,,
,,,,,,,,,,,,,,,,6.247035,-75.568862,1510.269810,0.350000,120.937500,1527543013.993363,
1527543014.314325,0.200383,0.213960,1.685695,-0.062056,0.013488,-0.051706,0.194506,-0.212331,-0.957644,0.023969,0.002630,0.016986,-6.828659,-39.642815,-9.927258,,,,,,,
,,,,,,,,,,,,,,,,6.247031,-75.568854,1509.697910,1.650000,110.390625,1527543014.993334,
1527543015.314697,0.274547,0.176886,1.745446,-0.185159,0.123625,-0.014438,0.266881,-0.175965,-0.947529,0.064021,-0.077286,0.024692,-3.617920,-32.520836,-10.306927,,,,,,,
,,,,,,,,,,,,,,,,6.247029,-75.568850,1509.629185,1.650000,109.335938,1527543015.993305,
1527543016.315053,0.416115,0.286960,1.779450,-0.105247,0.289230,0.007345,0.387681,-0.283038,-0.877264,0.008941,0.003680,0.008825,-5.503952,-33.571053,-6.096355,,,,,,,
,,,,,,,,,,,,,,,,6.247023,-75.568850,1507.026890,1.460000,108.984375,1527543016.993275,
1527543017.315428,0.366100,0.318217,1.888415,-0.209089,-0.070009,0.144713,0.340004,-0.312873,-0.886852,0.023598,-0.021340,0.000942,-8.504013,-33.568138,-5.925350,,,,,,,
,,,,,,,,,,,,,,,,6.247013,-75.568848,1506.068760,1.350000,114.960938,1527543017.993245,
1527543018.315836,0.365982,0.298880,1.962834,-0.046911,0.079082,0.114075,0.342001,-0.294450,-0.892375,-0.019918,0.022187,0.017787,-14.844406,-38.287086,-5.367764,,,,,,,
,,,,,,,,,,,,,,,,6.246995,-75.568844,1504.005283,1.350000,128.320312,1527543018.993215,
1527543019.316213,0.339177,0.266125,1.818219,0.297939,-0.162714,-0.153491,0.320999,-0.262995,-0.909831,0.033081,-0.043676,0.109798,-12.676620,-47.889824,-4.206936,,,,,,,
,,,,,,,,,,,,,,,,6.246978,-75.568840,1502.787144,2.340000,121.640625,1527543019.993185,
1527543020.316589,0.222795,0.300706,1.841794,-0.320699,-0.108775,0.170934,0.211041,-0.296194,-0.931520,0.030017,-0.046335,-0.007658,-12.371094,-46.917870,1.268345,,,,,,,
,,,,,,,,,,,,,,,,6.246965,-75.568833,1502.347446,2.670000,113.203125,1527543020.993155,
1527543021.316944,0.212948,0.218273,1.829216,-0.056999,0.088686,-0.321016,0.206327,-0.216544,-0.954221,-0.016142,0.005286,0.021878,-10.315125,-43.393913,-0.762234,,,,,,,
,,,,,,,,,,,,,,,,6.246952,-75.568827,1501.036167,2.490000,106.523438,1527543021.993125,
1527543022.317355,0.219229,0.216827,1.758525,-0.107134,0.014141,0.044412,0.212385,-0.215132,-0.953210,-0.038771,-0.004717,0.048578,-5.110794,-39.874702,0.410130,,,,,,,
,,,,,,,,,,,,,,,,6.246935,-75.568820,1499.438023,2.490000,101.250000,1527543022.993095,
1527543023.317724,0.260656,0.266389,1.895105,0.221136,0.239092,0.442833,0.248624,-0.263250,-0.932140,-0.041822,0.037450,-0.064213,-8.650421,-23.970970,0.024677,,,,,,,
,,,,,,,,,,,,,,,,6.246923,-75.568809,1499.168125,2.320000,104.414062,1527543023.993066,
1527543024.318099,0.296275,0.259761,1.923411,-0.081719,-0.027016,0.127408,0.282165,-0.256850,-0.924343,0.016312,-0.008104,-0.022984,-10.397461,-17.818581,-1.297710,,,,,,,
